,Code,Length,Gear,Species,Group,Ref,Absolute,Abs.l.95,Abs.u.95,Efficiency,Eff.l.95,Eff.u.95
438,GRP2,101,GOV,GRP2,GRP2,no,NA,NA,NA,0.142287278,0.02543058,0.259143976
439,GRP2,102,GOV,GRP2,GRP2,no,NA,NA,NA,0.150695079,0.034231296,0.267158862
440,GRP2,103,GOV,GRP2,GRP2,no,NA,NA,NA,0.15871906,0.042191381,0.275246738
441,GRP2,104,GOV,GRP2,GRP2,no,NA,NA,NA,0.166207619,0.049149866,0.283265372
442,GRP2,105,GOV,GRP2,GRP2,Ref,0.259171734,NA,NA,0.172995587,0.054978048,0.291013126
443,GRP2,106,GOV,GRP2,GRP2,no,NA,NA,NA,0.178917202,0.059651808,0.298182595
444,GRP2,107,GOV,GRP2,GRP2,no,NA,NA,NA,0.183806704,0.063236016,0.304377392
445,GRP2,108,GOV,GRP2,GRP2,no,NA,NA,NA,0.187501744,0.065850697,0.30915279
446,GRP2,109,GOV,GRP2,GRP2,no,NA,NA,NA,0.189918406,0.067607902,0.312228911
447,GRP2,110,GOV,GRP2,GRP2,Ref,0.134350079,NA,NA,0.191051214,0.068571645,0.313530783
448,GRP2,111,GOV,GRP2,GRP2,no,NA,NA,NA,0.1908981,0.068770837,0.313025363
449,GRP2,112,GOV,GRP2,GRP2,no,NA,NA,NA,0.189456996,0.068198472,0.31071552
450,GRP2,113,GOV,GRP2,GRP2,no,NA,NA,NA,0.18673072,0.066802298,0.306659142
451,GRP2,114,GOV,GRP2,GRP2,no,NA,NA,NA,0.182834434,0.064482272,0.301186596
452,GRP2,115,GOV,GRP2,GRP2,Ref,0.221664215,NA,NA,0.177995646,0.061123733,0.294867559
453,GRP2,116,GOV,GRP2,GRP2,no,NA,NA,NA,0.172446748,0.05664319,0.288250305
454,GRP2,117,GOV,GRP2,GRP2,no,NA,NA,NA,0.166420131,0.051034304,0.281805959
455,GRP2,118,GOV,GRP2,GRP2,no,NA,NA,NA,0.160149861,0.044405341,0.275894382
456,GRP2,119,GOV,GRP2,GRP2,no,NA,NA,NA,0.15390846,0.037000016,0.270816905
457,GRP2,120,GOV,GRP2,GRP2,Ref,0.168796784,NA,NA,0.148006909,0.029222845,0.266790974
458,GRP2,121,GOV,GRP2,GRP2,no,NA,NA,NA,0.142757861,0.0216378,0.263877923
459,GRP2,122,GOV,GRP2,GRP2,no,NA,NA,NA,0.138473969,0.014928431,0.262019508
460,GRP2,123,GOV,GRP2,GRP2,no,NA,NA,NA,0.135464219,0.009836556,0.261091882
461,GRP2,124,GOV,GRP2,GRP2,no,NA,NA,NA,0.133953243,0.006937224,0.260969263
462,GRP2,125,GOV,GRP2,GRP2,Ref,0.054688351,NA,NA,0.134081326,0.006573116,0.261589536
463,GRP2,126,GOV,GRP2,GRP2,no,NA,NA,NA,0.135985082,0.008990956,0.262979207
464,GRP2,127,GOV,GRP2,GRP2,no,NA,NA,NA,0.139801125,0.01432791,0.26527434
465,GRP2,128,GOV,GRP2,GRP2,no,NA,NA,NA,0.145660031,0.022562101,0.268757962
466,GRP2,129,GOV,GRP2,GRP2,no,NA,NA,NA,0.15355345,0.033210946,0.273895954
467,GRP2,130,GOV,GRP2,GRP2,Ref,0.159419351,NA,NA,0.163334106,0.045318873,0.281349338
468,GRP2,131,GOV,GRP2,GRP2,no,NA,NA,NA,0.174848682,0.057753772,0.291943593
469,GRP2,132,GOV,GRP2,GRP2,no,NA,NA,NA,0.187943865,0.069339562,0.306548167
470,GRP2,133,GOV,GRP2,GRP2,no,NA,NA,NA,0.202463904,0.079059835,0.325867973
471,GRP2,134,GOV,GRP2,GRP2,no,NA,NA,NA,0.218197078,0.086212824,0.350181333
472,GRP2,135,GOV,GRP2,GRP2,Ref,0.333953458,NA,NA,0.234875695,0.090543646,0.379207745
473,GRP2,136,GOV,GRP2,GRP2,no,NA,NA,NA,0.252229628,0.092225876,0.412233381
474,GRP2,137,GOV,GRP2,GRP2,no,NA,NA,NA,0.269988751,0.091659972,0.44831753
475,GRP2,138,GOV,GRP2,GRP2,no,NA,NA,NA,0.287888565,0.089304386,0.486472744
476,GRP2,139,GOV,GRP2,GRP2,no,NA,NA,NA,0.305794006,0.08560272,0.525985292
477,GRP2,140,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
478,GRP2,141,GOV,GRP2,GRP2,no,NA,NA,NA,0.323699447,0.080912627,0.566486268
